ACTION,A,B,PROJECT,DISTANCE,SPDCLASS,CAPCLASS,LANES,TSIN,GL,USE,OT,CAP,AT,FT,SIGCOR,TOS,AUX,YEAR,FFS,FFT,FT2000,ROUTENUM,HOT,TOLLCLASS,STATE,CITYID,CITYNAME,REGFREIGHT,BRT,TOLLEA_DA,TOLLEA_S2,TOLLEA_S3,TOLLEA_VSM,TOLLEA_SML,TOLLEA_MED,TOLLEA_LRG,TOLLAM_DA,TOLLAM_S2,TOLLAM_S3,TOLLAM_VSM,TOLLAM_SML,TOLLAM_MED,TOLLAM_LRG,TOLLMD_DA,TOLLMD_S2,TOLLMD_S3,TOLLMD_VSM,TOLLMD_SML,TOLLMD_MED,TOLLMD_LRG,TOLLPM_DA,TOLLPM_S2,TOLLPM_S3,TOLLPM_VSM,TOLLPM_SML,TOLLPM_MED,TOLLPM_LRG,TOLLEV_DA,TOLLEV_S2,TOLLEV_S3,TOLLEV_VSM,TOLLEV_SML,TOLLEV_MED,TOLLEV_LRG,ROUTEDIR
ADD,5068,5069,Base_year_fix,0.1,17,17,2,0,3,1,0,950,1,7,0,0,0,0,25,0.24,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,5069,4963,Base_year_fix,0.19,17,17,2,0,3,1,0,950,1,7,0,0,0,0,25,0.456,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,4963,4964,Base_year_fix,0.19,27,27,2,0,3,1,0,1000,2,7,0,0,0,0,30,0.38,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,4964,4965,Base_year_fix,0.19,27,27,2,0,3,1,0,1000,2,7,0,0,0,0,30,0.38,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,4965,4974,Base_year_fix,0.06,27,27,2,0,3,1,0,1000,2,7,0,0,0,0,30,0.12,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,4974,4944,Base_year_fix,0.11,27,27,2,0,3,1,0,1000,2,7,0,0,0,0,30,0.22,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,4944,4988,Base_year_fix,0.26,27,27,2,0,3,1,0,1000,2,7,0,0,0,0,30,0.52,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,5191,5183,Base_year_fix,0.17,17,17,2,0,3,1,0,950,1,7,0,0,0,0,25,0.408,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,4982,5191,Base_year_fix,0.1,17,17,2,0,3,1,0,950,1,7,0,0,0,0,25,0.24,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,4983,4982,Base_year_fix,0.19,17,17,2,0,3,1,0,950,1,7,0,0,0,0,25,0.456,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,4984,4983,Base_year_fix,0.21,27,27,2,0,3,1,0,1000,2,7,0,0,0,0,30,0.42,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,4985,4984,Base_year_fix,0.21,27,27,2,0,3,1,0,1000,2,7,0,0,0,0,30,0.42,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,4986,4985,Base_year_fix,0.06,27,27,2,0,3,1,0,1000,2,7,0,0,0,0,30,0.12,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,4987,4986,Base_year_fix,0.11,27,27,2,0,3,1,0,1000,2,7,0,0,0,0,30,0.22,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD,4988,4987,Base_year_fix,0.29,27,27,2,0,3,1,0,1000,2,7,0,0,0,0,30,0.58,7,0,0,0,0,131,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
